2026-05-28 15:49:33,038 | INFO | [CONNECTED] Client connected from ('127.0.0.1', 64936)
2026-05-28 15:49:33,039 | INFO | [FILE] sample.txt
2026-05-28 15:49:33,040 | INFO | [SUCCESS] sample.txt transferred
2026-05-28 15:49:33,040 | INFO | [RECIEVING] sample.txt
2026-05-28 15:49:33,040 | INFO | [SESSION CLOSED]
2026-05-28 15:49:33,042 | INFO | [SUCCESS] File Recieved sample.txt
2026-05-28 15:49:33,042 | INFO | [SESSION CLOSED]
2026-05-28 15:49:33,042 | INFO | [SESSION CLOSED]
2026-05-29 23:31:48,519 | ERROR | [ERROR] Connection Refused
2026-05-29 23:31:48,520 | INFO | [SESSION CLOSED]
2026-05-29 23:32:14,811 | ERROR | name 'message' is not defined
2026-05-29 23:32:44,086 | ERROR | name 'message' is not defined
2026-05-29 23:33:16,306 | ERROR | name 'message' is not defined
2026-05-29 23:33:39,828 | ERROR | name 'message' is not defined
2026-05-29 23:34:33,488 | ERROR | name 'message' is not defined
2026-05-29 23:34:54,642 | ERROR | name 'message' is not defined
2026-05-29 23:34:54,642 | INFO | [SESSION CLOSED]
2026-05-29 23:35:24,845 | INFO | Connected to 127.0.0.1 : 5000
2026-05-29 23:35:24,876 | INFO | [CONNECTED] Client connected from ('127.0.0.1', 61023)
2026-05-29 23:35:24,906 | INFO | [FILE] sample.txt
2026-05-29 23:35:24,909 | ERROR | name 'message' is not defined
2026-05-29 23:35:24,910 | INFO | [RECIEVING] sample.txt
2026-05-29 23:35:24,910 | INFO | [SESSION CLOSED]
2026-05-29 23:35:24,914 | INFO | [SUCCESS] File Recieved sample.txt
2026-05-29 23:35:24,915 | ERROR | [ERROR] Connection Lost
2026-05-29 23:35:24,915 | INFO | [SESSION CLOSED]
2026-05-29 23:36:14,748 | INFO | [CONNECTED] Client connected from ('127.0.0.1', 56802)
2026-05-29 23:36:14,749 | INFO | [FILE] sample.txt
2026-05-29 23:36:14,751 | ERROR | name 'message' is not defined
2026-05-29 23:36:14,751 | INFO | [RECIEVING] sample.txt
2026-05-29 23:36:14,752 | INFO | [SESSION CLOSED]
2026-05-29 23:36:14,773 | INFO | [SUCCESS] File Recieved sample.txt
2026-05-29 23:36:14,773 | ERROR | [ERROR] Connection Lost
2026-05-29 23:36:14,774 | INFO | [SESSION CLOSED]
2026-05-29 23:36:41,208 | INFO | Connected to 127.0.0.1 : 5000
2026-05-29 23:36:41,209 | INFO | [CONNECTED] Client connected from ('127.0.0.1', 56808)
2026-05-29 23:36:41,209 | INFO | [FILE] sample.txt
2026-05-29 23:36:41,211 | INFO | [RECIEVING] sample.txt
2026-05-29 23:36:41,215 | INFO | [SUCCESS] File Recieved sample.txt
2026-05-29 23:36:41,222 | INFO | [SUCCESS] sample.txt transferred
2026-05-29 23:36:41,224 | INFO | [SESSION CLOSED]
2026-05-29 23:36:41,224 | INFO | [SESSION CLOSED]
2026-05-29 23:36:41,224 | INFO | [SESSION CLOSED]
2026-05-30 00:29:26,543 | ERROR | Event.__init__() got an unexpected keyword argument 'evennt_type'. Did you mean 'event_type'?
2026-05-30 00:29:26,543 | INFO | [CONNECTED] Client connected from ('127.0.0.1', 61034)
2026-05-30 00:29:26,544 | ERROR | [ERROR] Connection Lost
2026-05-30 00:29:26,545 | INFO | [SESSION CLOSED]
2026-05-30 00:29:26,549 | INFO | [SESSION CLOSED]
2026-05-30 00:31:04,882 | INFO | [CONNECTED] Client connected from ('127.0.0.1', 63638)
2026-05-30 00:31:04,886 | ERROR | Event.__init__() got an unexpected keyword argument 'evennt_type'. Did you mean 'event_type'?
2026-05-30 00:31:04,887 | ERROR | [ERROR] Connection Lost
2026-05-30 00:31:04,887 | INFO | [SESSION CLOSED]
2026-05-30 00:31:04,888 | INFO | [SESSION CLOSED]
2026-05-30 00:31:40,057 | INFO | [CONNECTED] Client connected from ('127.0.0.1', 64712)
2026-05-30 00:31:40,062 | INFO | Connected to 127.0.0.1 : 5000
2026-05-30 00:31:40,062 | INFO | [FILE] sample.txt
2026-05-30 00:31:40,063 | INFO | [RECIEVING] sample.txt
2026-05-30 00:31:40,063 | INFO | [SUCCESS] sample.txt transferred
2026-05-30 00:31:40,066 | INFO | [SESSION CLOSED]
2026-05-30 00:31:40,067 | INFO | [SUCCESS] File Recieved sample.txt
2026-05-30 00:31:40,067 | INFO | [SESSION CLOSED]
2026-05-30 00:31:40,068 | INFO | [SESSION CLOSED]
2026-05-30 00:49:07,926 | INFO | [CONNECTED] Client connected from ('127.0.0.1', 59989)
2026-05-30 00:49:07,931 | INFO | Connected to 127.0.0.1 : 5000
2026-05-30 00:49:07,932 | INFO | [FILE] sample.txt
2026-05-30 00:49:07,933 | INFO | [RECIEVING] sample.txt
2026-05-30 00:49:07,933 | INFO | [SUCCESS] sample.txt transferred
2026-05-30 00:49:07,934 | INFO | [SESSION CLOSED]
2026-05-30 00:49:07,945 | INFO | [SUCCESS] File Recieved sample.txt
2026-05-30 00:49:07,946 | INFO | [SESSION CLOSED]
2026-05-30 00:49:07,947 | INFO | [SESSION CLOSED]
